"","zip","pop_total","pop_25","prop_hs","prop_sc","prop_b","prop_grad","hh_inc","f_inc","pc_inc"
"30806","91311",40557,29794,0.91065315164127,0.739612002416594,0.449184399543532,0.163187218903135,117574,127286,52778
"30807","91316",29246,22539,0.943786325923954,0.800656639602467,0.577399174763743,0.258928967567328,90802,117317,62999
"30808","91320",43628,30052,0.951084786370291,0.810528417409823,0.533175828563823,0.227106348995075,150861,176370,64947
"30809","91321",32668,21178,0.842241949192558,0.622627254698272,0.312730191708377,0.0975068467277363,93281,108174,40949
"30810","91324",29510,20875,0.863520958083832,0.671425149700599,0.381173652694611,0.113101796407186,99834,115959,45584
"30811","91325",35116,25061,0.880252184669407,0.704201747735525,0.42484338214756,0.127409121742947,92602,108935,47506
"30812","91326",37068,27004,0.953821656050955,0.820359946674567,0.562657384091246,0.229225299955562,148636,176436,65175
"30813","91330",2591,218,0.972477064220184,0.972477064220184,0.752293577981651,0.206422018348624,NA,NA,7849
"30814","91331",98820,64591,0.580885881934016,0.310089640971652,0.112291186078556,0.0254214983511635,82025,84981,24032
"30815","91335",74802,52795,0.778122928307605,0.558405152003031,0.297471351453736,0.0916942892319348,77164,87621,34318
"30816","91340",33750,22859,0.644472636598276,0.371538562491798,0.14121352640098,0.0459337678813596,79124,84383,28597
"30817","91342",93513,62976,0.725800304878049,0.473593114837398,0.201092479674797,0.0560213414634146,95480,100885,31378
"30818","91343",61607,40743,0.770291829271286,0.533883121026925,0.264045357484721,0.0719141938492502,81719,94420,32880
"30819","91344",53248,39310,0.884049860086492,0.677537522258967,0.373772576952429,0.12520987026202,116647,131820,49535
"30820","91345",18282,13759,0.788792790173705,0.510138818228069,0.213823679046442,0.0563994476342757,96345,106468,34599
"30821","91350",43621,29013,0.937200565263847,0.762554716851067,0.406886568090166,0.13063109640506,135612,149094,51062
"30822","91351",33553,23151,0.840870804716859,0.599714915122457,0.247807870070407,0.0662606366895599,112888,120580,40790
"30823","91352",46153,32082,0.665326351224986,0.419082351474347,0.175144941088461,0.0484072065332585,74621,83130,27231
"30824","91354",33059,21977,0.969923101424216,0.838786003549165,0.53879055376075,0.208354188469764,148818,158433,60158
"30825","91355",28777,21184,0.971393504531722,0.826944864048338,0.494901812688822,0.173952039274924,109348,128444,58949
"30826","91356",30809,23015,0.942124701281773,0.799782750380187,0.555159678470563,0.22276776015642,110094,145575,69181
"30827","91360",42315,29776,0.923529016657711,0.763769478774852,0.438944116066631,0.166577109081139,116729,146437,53983
"30828","91361",18728,14356,0.968932850376149,0.866397325160212,0.595987740317637,0.265324602953469,131911,179496,91307
"30829","91362",36205,26343,0.962988270128687,0.830733022055195,0.55711194624758,0.240974832023687,143683,184736,71814
"30830","91364",28662,20757,0.966806378571084,0.850556438791733,0.550513079924845,0.230861877920701,134534,158191,66750
"30831","91367",45427,33961,0.958157886988016,0.825299608374312,0.578516533670976,0.222225493948941,109629,142409,60645
"30832","91371",0,0,NA,NA,NA,NA,NA,NA,NA
"30833","91377",13656,9194,0.986512943223842,0.909832499456167,0.631933869915162,0.297367848596911,160484,178229,80193
"30834","91381",21857,14460,0.963762102351314,0.856224066390041,0.536030428769018,0.195504840940526,146706,157066,60125
"30835","91384",27278,18469,0.838648546212572,0.628458498023715,0.317234284476691,0.0877145487032324,129603,141573,41045
"30836","91387",46283,29668,0.889544290144263,0.681003100984225,0.337737629769449,0.0921868680059323,114378,122202,43518
"30837","91390",18722,13486,0.9374165801572,0.736764051609076,0.411315438232241,0.140738543674922,143963,177537,59011
"30838","91401",39011,28087,0.805425997792573,0.610317940684302,0.388435931213729,0.117634492825862,75933,83381,41686
"30839","91402",66710,43955,0.666886588556478,0.403571834831077,0.18839722443408,0.0297804572858605,56369,60928,24400
"30840","91403",25566,20063,0.978816727308977,0.886258286397847,0.682051537656382,0.277027363804017,114348,146946,85858
"30841","91405",54887,38353,0.751570933173415,0.505149531979245,0.258441321409016,0.0635152400073006,61207,64047,29036
"30842","91406",52661,36869,0.774607393745423,0.553445984431365,0.286690715777482,0.108139629499037,76653,90617,38298
